applicant_id,ktp_number,nama_lengkap,jenis_kelamin,tanggal_lahir,usia,status_pernikahan,jumlah_tanggungan,pendidikan_terakhir,jenis_pekerjaan,lama_bekerja_tahun,pendapatan_bulanan,kota,provinsi,no_telepon,hutang_bulanan_existing
APP00001,3112070809980435,Agus Lim,Male,1999-11-24,27,Menikah,4,SMP,BUMN,1,5450000,Depok,Jawa Barat,087863794026,0
APP00002,6169041302954804,Utami Permadi,P,1980-04-09,45,Menikah,4,SD,Swasta,11,3010000,Palembang,Sumatera Selatan,085293103413,190000
APP00003,7310202103944011, Pandu Nasution ,Pria,1995-01-15,31,Belum Menikah,0,S3,TNI/Polri,10,18650000,Denpasar,Bali,083883503056,0
APP00004,6369092410879561,Eka Prabowo,perempuan,1964-05-26,62,Menikah,1,SMA,TNI/Polri,29,4310000,Manado,Sulawesi Utara,082187101226,530000
APP00005,3615101403890054,Pandu Tampubolon,Male,1969-01-12,56,Belum Menikah,0,S1,Wiraswasta,7,15060000,Padang,Sumatera Barat,087828148932,0
APP00006,7111032408648728,Intan Hartono,perempuan,1985-05-15,41,Cerai,2,SD,Profesional,11,3250000,Banjarmasin,Kalimantan Selatan,087824896383,400000
APP00007,3476080102633751,  Ira Utomo,Perempuan,1997-09-11,28,Belum Menikah,0,S1,Wiraswasta,5,9850000,Malang,Jawa Timur,081383473829,0
APP00008,3113021312811791,Sari Sihombing,perempuan,1963-03-18,63,Menikah,3,SD,BUMN,26,3270000,Solo,Jawa Tengah,082162473178,0
APP00009,3349011305894674,Andi Lesmana,Male,1995-02-21,31,Menikah,3,SD,PNS,3,3090000,Banjarmasin,Kalimantan Selatan,087872343098,0
APP00010,3277032204851965,Ferry Siahaan,L,1973-06-27,53,Belum Menikah,0,S1,PNS,32,IDR 6990000,Surabaya,Jawa Timur,087709169985,0
APP00011,3202152010661201,Putri Utomo,P,1997-11-18,29,Belum Menikah,0,SMA,BUMN,7,6770000,Bogor,Jawa Barat,085213542784,0
APP00012,1244072211768281,Putra Simanjuntak,Laki-laki,1988-04-28,37,Menikah,1,SD,TNI/Polri,17,Rp3990000,Bekasi,Jawa Barat,085740052427,920000
APP00013,3140122601823442,Rini Wijaya,Female,1970-02-06,55,Menikah,1,S2,PNS,35,Rp19420000,Medan,Sumatera Utara,087869232260,0
APP00014,1461080708825001,Ferry Manurung,laki-laki,1989-10-01,36,Cerai,3,S3,TNI/Polri,3,IDR 14960000,Solo,Jawa Tengah,083836541458,0
APP00015,1241142009676312,Cantika Purba,perempuan,1994-08-18,32,Belum Menikah,0,SD,PNS,4,4400000,Bogor,Jawa Barat,083160883561,790000
APP00016,3454132212719325,Winda Siahaan,P,1986-11-14,40,Cerai,2,SMA,TNI/Polri,12,4370000,Medan,Sumatera Utara,085143699577,0
APP00017,3440082604690401,  Cantika Prabowo,Wanita,1995-11-06,31,Cerai,2,S3,Wiraswasta,8,18560000,Pontianak,Kalimantan Barat,081376936763,6230000
APP00018,1416150508939158,Yoga Raharjo,Pria,1990-06-30,35,Belum Menikah,0,S3,PNS,14,28520000,Jakarta,DKI Jakarta,083186872774,0
APP00019,6311050504842504,Ilham Nasution,Laki-laki,1988-03-26,38,Menikah,1,S2,Wiraswasta,9,12250000,Pontianak,Kalimantan Barat,085287603669,1790000
APP00020,3556160107816625,Galih Ginting,Pria,1986-02-04,40,Belum Menikah,0,SD,Wiraswasta,13,5330000,Yogyakarta,DI Yogyakarta,087780699016,0
